datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
1/1/2024 5:00:00 AM,1/1/2024 12:00:00 AM,RFC,MIDATL,AE,AECO,946.650,True
1/1/2024 5:00:00 AM,1/1/2024 12:00:00 AM,RFC,WEST,AEP,AEPAPT,4228.784,True
1/1/2024 5:00:00 AM,1/1/2024 12:00:00 AM,RFC,WEST,AEP,AEPIMP,2590.721,True
1/1/2024 5:00:00 AM,1/1/2024 12:00:00 AM,RFC,WEST,AEP,AEPKPT,662.849,True
1/1/2024 5:00:00 AM,1/1/2024 12:00:00 AM,RFC,WEST,AEP,AEPOPT,6028.185,True
1/1/2024 5:00:00 AM,1/1/2024 12:00:00 AM,RFC,WEST,AP,AP,5226.850,True
1/1/2024 5:00:00 AM,1/1/2024 12:00:00 AM,RFC,MIDATL,BC,BC,3126.873,True
1/1/2024 5:00:00 AM,1/1/2024 12:00:00 AM,RFC,WEST,CE,CE,9438.426,True
1/1/2024 5:00:00 AM,1/1/2024 12:00:00 AM,RFC,WEST,DAY,DAY,1723.000,False
1/1/2024 5:00:00 AM,1/1/2024 12:00:00 AM,RFC,WEST,DEOK,DEOK,2725.693,True
1/1/2024 5:00:00 AM,1/1/2024 12:00:00 AM,SERC,SOUTH,DOM,DOM,13553.438,True
1/1/2024 5:00:00 AM,1/1/2024 12:00:00 AM,RFC,MIDATL,DPL,DPLCO,1944.179,True
1/1/2024 5:00:00 AM,1/1/2024 12:00:00 AM,RFC,WEST,DUQ,DUQ,1339.788,False
1/1/2024 5:00:00 AM,1/1/2024 12:00:00 AM,RFC,MIDATL,DPL,EASTON,27.222,True
1/1/2024 5:00:00 AM,1/1/2024 12:00:00 AM,SERC,WEST,EKPC,EKPC,1773.568,True
1/1/2024 5:00:00 AM,1/1/2024 12:00:00 AM,RFC,MIDATL,JC,JC,2192.920,True
1/1/2024 5:00:00 AM,1/1/2024 12:00:00 AM,RFC,MIDATL,ME,ME,1421.158,True
1/1/2024 5:00:00 AM,1/1/2024 12:00:00 AM,RFC,WEST,ATSI,OE,6057.487,True
1/1/2024 5:00:00 AM,1/1/2024 12:00:00 AM,RFC,WEST,OVEC,OVEC,33.000,True
1/1/2024 5:00:00 AM,1/1/2024 12:00:00 AM,RFC,WEST,ATSI,PAPWR,424.144,True
1/1/2024 5:00:00 AM,1/1/2024 12:00:00 AM,RFC,MIDATL,PE,PE,3839.291,True
1/1/2024 5:00:00 AM,1/1/2024 12:00:00 AM,RFC,MIDATL,PEP,PEPCO,2388.050,True
1/1/2024 5:00:00 AM,1/1/2024 12:00:00 AM,RFC,MIDATL,PL,PLCO,3918.996,False
1/1/2024 5:00:00 AM,1/1/2024 12:00:00 AM,RFC,MIDATL,PN,PN,1655.527,True
1/1/2024 5:00:00 AM,1/1/2024 12:00:00 AM,RFC,MIDATL,PS,PS,4223.744,True
1/1/2024 5:00:00 AM,1/1/2024 12:00:00 AM,RFC,MIDATL,RECO,RECO,135.637,False
1/1/2024 5:00:00 AM,1/1/2024 12:00:00 AM,RFC,MIDATL,PEP,SMECO,434.697,True
1/1/2024 5:00:00 AM,1/1/2024 12:00:00 AM,RFC,MIDATL,PL,UGI,110.727,True
1/1/2024 5:00:00 AM,1/1/2024 12:00:00 AM,RFC,MIDATL,AE,VMEU,65.090,True
1/1/2024 5:00:00 AM,1/1/2024 12:00:00 AM,RTO,RTO,RTO,RTO,82236.694,False
1/1/2024 6:00:00 AM,1/1/2024 1:00:00 AM,RFC,MIDATL,AE,AECO,910.061,True
1/1/2024 6:00:00 AM,1/1/2024 1:00:00 AM,RFC,WEST,AEP,AEPAPT,4235.696,True
1/1/2024 6:00:00 AM,1/1/2024 1:00:00 AM,RFC,WEST,AEP,AEPIMP,2537.374,True
1/1/2024 6:00:00 AM,1/1/2024 1:00:00 AM,RFC,WEST,AEP,AEPKPT,670.403,True
1/1/2024 6:00:00 AM,1/1/2024 1:00:00 AM,RFC,WEST,AEP,AEPOPT,5949.112,True
1/1/2024 6:00:00 AM,1/1/2024 1:00:00 AM,RFC,WEST,AP,AP,5142.856,True
1/1/2024 6:00:00 AM,1/1/2024 1:00:00 AM,RFC,MIDATL,BC,BC,3087.844,True
1/1/2024 6:00:00 AM,1/1/2024 1:00:00 AM,RFC,WEST,CE,CE,9185.714,True
1/1/2024 6:00:00 AM,1/1/2024 1:00:00 AM,RFC,WEST,DAY,DAY,1699.000,False
1/1/2024 6:00:00 AM,1/1/2024 1:00:00 AM,RFC,WEST,DEOK,DEOK,2703.918,True
1/1/2024 6:00:00 AM,1/1/2024 1:00:00 AM,SERC,SOUTH,DOM,DOM,13455.698,True
1/1/2024 6:00:00 AM,1/1/2024 1:00:00 AM,RFC,MIDATL,DPL,DPLCO,1906.867,True
1/1/2024 6:00:00 AM,1/1/2024 1:00:00 AM,RFC,WEST,DUQ,DUQ,1306.302,False
1/1/2024 6:00:00 AM,1/1/2024 1:00:00 AM,RFC,MIDATL,DPL,EASTON,27.130,True
1/1/2024 6:00:00 AM,1/1/2024 1:00:00 AM,SERC,WEST,EKPC,EKPC,1823.288,True
1/1/2024 6:00:00 AM,1/1/2024 1:00:00 AM,RFC,MIDATL,JC,JC,2102.541,True
1/1/2024 6:00:00 AM,1/1/2024 1:00:00 AM,RFC,MIDATL,ME,ME,1398.139,True
1/1/2024 6:00:00 AM,1/1/2024 1:00:00 AM,RFC,WEST,ATSI,OE,5915.264,True
1/1/2024 6:00:00 AM,1/1/2024 1:00:00 AM,RFC,WEST,OVEC,OVEC,32.000,True
1/1/2024 6:00:00 AM,1/1/2024 1:00:00 AM,RFC,WEST,ATSI,PAPWR,410.807,True
1/1/2024 6:00:00 AM,1/1/2024 1:00:00 AM,RFC,MIDATL,PE,PE,3725.909,True
1/1/2024 6:00:00 AM,1/1/2024 1:00:00 AM,RFC,MIDATL,PEP,PEPCO,2369.466,True
1/1/2024 6:00:00 AM,1/1/2024 1:00:00 AM,RFC,MIDATL,PL,PLCO,3861.890,False
1/1/2024 6:00:00 AM,1/1/2024 1:00:00 AM,RFC,MIDATL,PN,PN,1614.702,True
1/1/2024 6:00:00 AM,1/1/2024 1:00:00 AM,RFC,MIDATL,PS,PS,4120.482,True
1/1/2024 6:00:00 AM,1/1/2024 1:00:00 AM,RFC,MIDATL,RECO,RECO,129.771,False
1/1/2024 6:00:00 AM,1/1/2024 1:00:00 AM,RFC,MIDATL,PEP,SMECO,436.380,True
1/1/2024 6:00:00 AM,1/1/2024 1:00:00 AM,RFC,MIDATL,PL,UGI,106.668,True
1/1/2024 6:00:00 AM,1/1/2024 1:00:00 AM,RFC,MIDATL,AE,VMEU,63.859,True
1/1/2024 6:00:00 AM,1/1/2024 1:00:00 AM,RTO,RTO,RTO,RTO,80929.141,False
